name,description,address,city,state,phone
California Fish Grill,Seafood,3988 Barranca Parkway,Irvine,CA,9496543838
Fukada,Japanese,8683 Irvine Center Dr,Irvine,CA,9493410111
Le Diplomate Cafe,Sandwiches,"4237 Campus Drive, Ste B 161",Irvine,CA,9498545161
Mick's Karma Bar,Burgers,"2010 Main Street, Ste 165",Irvine,CA,9498516316
Tokyo Table,Sushi/Japanese,2710 Alton Parkway,Irvine,CA,9492630000
Taiko Japanese Restaurant,Japanese,"14775 Jeffrey Rd, Ste K",Irvine,CA,9495597190
Veggie Grill,Vegetarian,4213 Campus Dr,Irvine,CA,9495090003
Kogi,Korean food truck,Naranja Truck,Irvine,CA,3233150253
Lazy Dog Restaurant & Bar,American,13290 Jamboree Rd,Irvine,CA,7147319700
Taco Rosa,Mexican,13792 Jamboree Rd,Irvine,CA,7145056080
Pho Ba Co,Vietnamese,"4250 Barranca Pkwy, Ste K",Irvine,CA,9498578808
Kaya Restaurant,Korean,"14120 Culver Dr, Ste G",Irvine,CA,9497269424
Thai Cafe,Thai,14715 Jeffrey Rd,Irvine,CA,9495595382
Andrei's Conscious Cuisine & Cocktails,American,2607 Main St,Irvine,CA,9493878887
Annapoorna,Indian,14450 Culver Dr,Irvine,CA,9496511144
The Wheel of Life,Thai,"14370 Culver Dr, Ste 2G",Irvine,CA,9495518222
Lucca Cafe,Italian,6507 Quail Hill Pkwy,Irvine,CA,9497251773
Opah,American,13122 Jamboree Rd,Irvine,CA,7145088055
Papaya Thai Bistro,Thai,"2700 Alton Pkwy, Ste 141",Irvine,CA,9495024488
El Cholo Cantina,Mexican,5465 Alton Pkwy,Irvine,CA,9494510044
Chong Qing Mei Wei Szechuan Restaurant,Sichuan,"5406 Walnut Ave, Ste C",Irvine,CA,9496518886
Pho Saigon Pearl,Vietnamese,"2750 Alton Pkwy, Ste 121",Irvine,CA,9493360336
O Fine Japanese Cuisine,Japanese,6731 Quail Hill Pkwy,Irvine,CA,9497481896
Clay Oven Cuisine Of India,Indian,"15435 Jeffrey Rd, Ste 116",Irvine,CA,9495522851
Urban Seoul,Asian Fusion,"2750 Alton Pkwy, Ste 131",Irvine,CA,9495530188
Panini Cafe,Cafe,3041 Michelson Dr,Irvine,CA,9492609800
Steelhead Brewing Company,American,4175 Campus Dr,Irvine,CA,9498562227
Chef Chen,Chinese,5408-B Walnut Ave,Irvine,CA,9497868898
Bruxie,Sandwiches,14376 Culver Dr,Irvine,CA,9495564894
Salad Republic,Salad,"4237 Campus Dr, Ste B158",Irvine,CA,9493875482
Ha Long Vietnamese Cuisine,Vietnamese,3850 D Barranca Pkwy,Irvine,CA,9496543736
The Chippy Fish & Chips,Fish and Chips,"2222 Michelson Dr, Ste 216",Irvine,CA,9498332322
Hen House Grill,Iranian,18040 Culver Dr,Irvine,CA,9497862000
